生徒ID,氏名,クラス,前半講師ID,前半授業名,前半希望順位,後半講師ID,後半授業名,後半希望順位
1,長谷川 凛,1-1,13,弁護士のお仕事,1,25,科学者の研究生活,3
2,長谷川 杏,1-1,3,YouTube動画のつくり方,2,15,美容師・ヘアメイク,1
3,佐藤 杏,1-1,8,宇宙とロケット開発,2,29,公務員の仕事,3
4,清水 芽依,1-1,6,消防士の一日,1,1,プログラミング入門,2
5,伊藤 拓真,1-1,25,科学者の研究生活,2,2,ゲームクリエイターの仕事,1
6,木村 光,1-1,20,パイロットの視点,1,13,弁護士のお仕事,3
7,佐々木 心春,1-1,11,マンガ家になるには,2,25,科学者の研究生活,1
8,藤田 颯太,1-1,9,獣医師と動物たち,1,26,ファッションデザイン,-
9,佐藤 樹,1-1,5,看護師のリアル,1,17,薬剤師と薬のはなし,3
10,林 翼,1-1,19,鉄道運転士の仕事,1,7,警察官の仕事,3
11,岡田 さくら,1-1,4,パティシエ体験,1,28,大工とものづくり,2
12,田中 蒼,1-1,11,マンガ家になるには,3,3,YouTube動画のつくり方,2
13,佐々木 葵,1-1,22,銀行と金融のしくみ,3,2,ゲームクリエイターの仕事,1
14,伊藤 愛莉,1-1,25,科学者の研究生活,4,16,新聞記者の取材現場,1
15,近藤 陽翔,1-1,22,銀行と金融のしくみ,1,3,YouTube動画のつくり方,3
16,後藤 健太,1-1,28,大工とものづくり,2,29,公務員の仕事,1
17,阿部 紬,1-1,10,建築デザインの世界,2,4,パティシエ体験,1
18,石田 翼,1-1,28,大工とものづくり,1,21,料理人の技,2
19,近藤 湊,1-1,29,公務員の仕事,3,6,消防士の一日,2
20,吉田 湊,1-1,19,鉄道運転士の仕事,1,15,美容師・ヘアメイク,3
21,井上 美咲,1-1,2,ゲームクリエイターの仕事,2,29,公務員の仕事,1
22,藤井 大翔,1-1,26,ファッションデザイン,2,4,パティシエ体験,1
23,山口 大和,1-1,25,科学者の研究生活,-,10,建築デザインの世界,1
24,山崎 樹,1-1,5,看護師のリアル,1,9,獣医師と動物たち,2
25,近藤 結菜,1-1,18,保育士の仕事,3,1,プログラミング入門,1
26,井上 拓海,1-1,1,プログラミング入門,-,15,美容師・ヘアメイク,1
27,村上 陽翔,1-1,11,マンガ家になるには,2,6,消防士の一日,1
28,小林 紬,1-1,17,薬剤師と薬のはなし,2,3,YouTube動画のつくり方,4
29,青木 結菜,1-1,17,薬剤師と薬のはなし,3,3,YouTube動画のつくり方,2
30,田中 大翔,1-1,14,農業とスマート農業,4,19,鉄道運転士の仕事,1
31,小林 紬,1-1,7,警察官の仕事,4,24,環境保護とSDGs,2
32,中村 樹,1-1,12,プロサッカー選手の話,2,18,保育士の仕事,4
33,橋本 楓,1-1,26,ファッションデザイン,-,28,大工とものづくり,1
34,高橋 悠人,1-1,17,薬剤師と薬のはなし,1,11,マンガ家になるには,2
35,石井 琴音,1-2,3,YouTube動画のつくり方,3,4,パティシエ体験,1
36,山田 さくら,1-2,28,大工とものづくり,2,19,鉄道運転士の仕事,1
37,井上 澪,1-2,7,警察官の仕事,3,2,ゲームクリエイターの仕事,1
38,岡田 咲良,1-2,14,農業とスマート農業,-,4,パティシエ体験,1
39,松本 咲良,1-2,23,翻訳・通訳の世界,4,27,声優・アナウンサー,2
40,林 悠人,1-2,7,警察官の仕事,3,2,ゲームクリエイターの仕事,1
41,鈴木 颯太,1-2,9,獣医師と動物たち,2,29,公務員の仕事,3
42,高橋 蒼,1-2,5,看護師のリアル,2,25,科学者の研究生活,1
43,長谷川 颯太,1-2,21,料理人の技,3,11,マンガ家になるには,4
44,近藤 葵,1-2,1,プログラミング入門,4,8,宇宙とロケット開発,1
45,山崎 颯太,1-2,7,警察官の仕事,4,8,宇宙とロケット開発,1
46,石井 優斗,1-2,6,消防士の一日,2,10,建築デザインの世界,3
47,佐藤 心春,1-2,17,薬剤師と薬のはなし,4,27,声優・アナウンサー,2
48,藤田 結菜,1-2,11,マンガ家になるには,2,6,消防士の一日,1
49,渡辺 莉子,1-2,22,銀行と金融のしくみ,2,15,美容師・ヘアメイク,1
50,井上 心春,1-2,7,警察官の仕事,3,16,新聞記者の取材現場,1
51,伊藤 花音,1-2,5,看護師のリアル,1,9,獣医師と動物たち,-
52,井上 陸,1-2,10,建築デザインの世界,1,15,美容師・ヘアメイク,4
53,前田 咲良,1-2,3,YouTube動画のつくり方,4,1,プログラミング入門,2
54,井上 颯太,1-2,29,公務員の仕事,2,4,パティシエ体験,1
55,青木 大和,1-2,13,弁護士のお仕事,1,22,銀行と金融のしくみ,2
56,石田 愛莉,1-2,28,大工とものづくり,1,26,ファッションデザイン,2
57,井上 澪,1-2,13,弁護士のお仕事,3,26,ファッションデザイン,1
58,伊藤 莉子,1-2,16,新聞記者の取材現場,2,20,パイロットの視点,1
59,加藤 咲良,1-2,26,ファッションデザイン,3,7,警察官の仕事,2
60,小川 さくら,1-2,8,宇宙とロケット開発,1,10,建築デザインの世界,3
61,鈴木 遥,1-2,24,環境保護とSDGs,2,9,獣医師と動物たち,3
62,石井 拓真,1-2,1,プログラミング入門,2,8,宇宙とロケット開発,1
