生徒ID,氏名,クラス,第1希望,第2希望,第3希望,第4希望
1,長谷川 凛,1-1,13,29,25,5
2,長谷川 杏,1-1,15,3,19,24
3,佐藤 杏,1-1,4,8,29,27
4,清水 芽依,1-1,6,1,28,25
5,伊藤 拓真,1-1,2,25,28,14
6,木村 光,1-1,20,4,13,17
7,佐々木 心春,1-1,25,11,4,16
8,藤田 颯太,1-1,9,19,8,27
9,佐藤 樹,1-1,5,2,17,19
10,林 翼,1-1,19,2,7,15
11,岡田 さくら,1-1,4,28,19,13
12,田中 蒼,1-1,4,3,11,13
13,佐々木 葵,1-1,2,19,22,3
14,伊藤 愛莉,1-1,16,4,13,25
15,近藤 陽翔,1-1,22,24,3,19
16,後藤 健太,1-1,29,28,24,4
17,阿部 紬,1-1,4,10,2,8
18,石田 翼,1-1,28,21,6,19
19,近藤 湊,1-1,4,6,29,19
20,吉田 湊,1-1,19,2,15,24
21,井上 美咲,1-1,29,2,4,19
22,藤井 大翔,1-1,4,26,5,19
23,山口 大和,1-1,10,19,16,28
24,山崎 樹,1-1,5,9,19,6
25,近藤 結菜,1-1,1,19,18,3
26,井上 拓海,1-1,15,4,8,2
27,村上 陽翔,1-1,6,11,16,29
28,小林 紬,1-1,19,17,28,3
29,青木 結菜,1-1,4,3,17,5
30,田中 大翔,1-1,19,4,5,14
31,小林 紬,1-1,19,24,2,7
32,中村 樹,1-1,4,12,19,18
33,橋本 楓,1-1,28,19,4,2
34,高橋 悠人,1-1,17,11,2,8
35,石井 琴音,1-2,4,5,3,20
36,山田 さくら,1-2,19,28,5,4
37,井上 澪,1-2,2,19,7,28
38,岡田 咲良,1-2,4,19,8,2
39,松本 咲良,1-2,4,27,8,23
40,林 悠人,1-2,2,4,7,24
41,鈴木 颯太,1-2,19,9,29,16
42,高橋 蒼,1-2,25,5,19,29
43,長谷川 颯太,1-2,19,8,21,11
44,近藤 葵,1-2,8,19,5,1
45,山崎 颯太,1-2,8,2,19,7
46,石井 優斗,1-2,19,6,10,4
47,佐藤 心春,1-2,19,27,6,17
48,藤田 結菜,1-2,6,11,19,13
49,渡辺 莉子,1-2,15,22,29,19
50,井上 心春,1-2,16,19,7,23
51,伊藤 花音,1-2,5,4,2,13
52,井上 陸,1-2,10,19,4,15
53,前田 咲良,1-2,19,1,20,3
54,井上 颯太,1-2,4,29,16,2
55,青木 大和,1-2,13,22,19,30
56,石田 愛莉,1-2,28,26,19,15
57,井上 澪,1-2,26,19,13,5
58,伊藤 莉子,1-2,20,16,19,5
59,加藤 咲良,1-2,5,7,26,2
60,小川 さくら,1-2,8,4,10,7
61,鈴木 遥,1-2,2,24,9,20
62,石井 拓真,1-2,8,1,19,24
63,鈴木 優斗,1-2,19,17,5,11
64,小川 結翔,1-2,7,19,10,4
65,鈴木 大翔,1-2,29,16,27,19
66,阿部 大和,1-2,19,4,13,2
67,石井 紬,1-2,4,7,20,8
68,池田 咲良,1-2,24,13,19,2
69,佐々木 蓮,1-3,19,21,20,28
70,山口 花音,1-3,19,5,13,4
71,清水 蒼,1-3,19,20,4,23
72,佐々木 樹,1-3,19,28,27,8
73,青木 颯太,1-3,19,24,5,6
74,橋本 樹,1-3,22,18,2,16
75,山本 七海,1-3,15,7,24,23
76,村上 澪,1-3,29,19,24,11
77,遠藤 澪,1-3,19,27,20,13
78,小川 遥,1-3,6,5,28,12
79,山田 翼,1-3,19,8,2,24
80,林 千尋,1-3,4,22,7,25
81,後藤 千尋,1-3,1,28,2,19
82,渡辺 莉子,1-3,20,19,14,21
83,村上 悠人,1-3,5,19,6,13
84,木村 咲良,1-3,11,19,7,5
85,岡田 澪,1-3,4,16,20,5
86,山本 葵,1-3,19,29,16,6
87,高橋 湊,1-3,6,8,19,4
88,後藤 蒼,1-3,17,19,4,25
89,山田 湊,1-3,25,19,13,12
90,後藤 樹,1-3,5,24,4,2
91,渡辺 芽依,1-3,19,4,22,28
92,松本 光,1-3,4,20,19,21
93,前田 心春,1-3,8,27,6,19
94,山口 結菜,1-3,18,2,29,3
95,石井 愛莉,1-3,5,2,17,4
96,斎藤 花音,1-3,19,13,2,6
97,佐々木 七海,1-3,2,5,21,19
98,青木 遥,1-3,4,5,2,21
99,石川 澪,1-3,27,11,13,6
100,木村 蓮,1-3,15,2,11,6
101,鈴木 澪,2-1,2,29,24,19
102,藤田 澪,2-1,19,20,4,16
103,池田 さくら,2-1,4,19,14,2
104,石川 千尋,2-1,7,19,24,6
105,長谷川 陽翔,2-1,2,5,4,20
106,橋本 琴音,2-1,19,16,10,4
107,斎藤 愛莉,2-1,20,19,4,17
108,井上 陽菜,2-1,26,14,2,19
109,中村 花音,2-1,6,1,10,5
110,林 さくら,2-1,28,19,4,6
111,阿部 葵,2-1,24,29,5,17
112,林 さくら,2-1,27,15,25,24
113,清水 楓,2-1,7,21,5,1
114,森 千尋,2-1,19,24,12,14
115,井上 遥,2-1,20,8,28,25
116,岡田 優斗,2-1,8,24,10,6
117,後藤 悠真,2-1,9,19,23,29
118,藤田 蒼,2-1,4,29,7,3
119,加藤 樹,2-1,16,13,19,10
120,渡辺 翔,2-1,13,29,7,19
121,後藤 拓真,2-1,24,8,6,19
122,渡辺 七海,2-1,2,19,27,30
123,吉田 心春,2-1,29,20,19,3
124,橋本 七海,2-1,27,2,22,6
125,吉田 凛,2-1,4,16,18,21
126,遠藤 陸,2-1,2,25,19,5
127,小川 莉子,2-1,5,19,13,27
128,遠藤 心春,2-1,19,4,12,8
129,佐々木 優斗,2-1,19,11,5,24
130,斎藤 蓮,2-1,24,3,8,6
131,田中 杏,2-1,29,19,5,18
132,松本 杏,2-1,19,24,27,20
133,小林 蒼,2-1,22,5,4,20
134,遠藤 拓海,2-1,27,19,6,12
135,小林 拓真,2-2,19,2,6,4
136,吉田 紬,2-2,25,8,15,5
137,森 颯太,2-2,27,28,29,6
138,石川 千尋,2-2,13,2,20,5
139,小川 拓海,2-2,8,21,1,16
140,松本 健太,2-2,19,23,28,3
141,松本 樹,2-2,2,26,18,27
142,高橋 心春,2-2,19,13,4,2
143,阿部 花音,2-2,30,4,5,16
144,遠藤 陸,2-2,8,28,19,16
145,林 悠真,2-2,26,19,24,28
146,橋本 拓真,2-2,19,5,12,8
147,中村 花音,2-2,27,19,2,6
148,田中 翔,2-2,2,4,19,29
149,石田 結菜,2-2,5,4,18,2
150,青木 陽翔,2-2,19,23,5,20
151,山田 颯太,2-2,6,29,30,16
152,井上 楓,2-2,19,2,1,21
153,村上 颯太,2-2,6,4,2,19
154,山本 愛莉,2-2,19,14,20,15
155,村上 心春,2-2,15,28,2,21
156,石川 七海,2-2,13,29,2,14
157,渡辺 大和,2-2,19,14,27,2
158,山崎 優斗,2-2,19,2,5,17
159,山本 颯太,2-2,30,16,13,19
160,藤田 咲良,2-2,24,19,20,5
161,山崎 七海,2-2,10,24,9,19
162,岡田 樹,2-2,6,5,29,19
163,小林 千尋,2-2,2,11,19,8
164,石井 悠人,2-2,2,29,18,19
165,田中 莉子,2-2,25,28,11,27
166,山本 悠人,2-2,19,8,4,5
167,前田 千尋,2-2,24,8,20,19
168,林 蓮,2-2,29,23,19,2
169,佐藤 凛,2-3,4,19,6,7
170,鈴木 大翔,2-3,25,18,10,4
171,橋本 心春,2-3,19,5,10,7
172,田中 陸,2-3,19,20,18,2
173,藤田 さくら,2-3,4,19,5,14
174,斎藤 楓,2-3,5,20,4,11
175,青木 湊,2-3,14,19,2,9
176,山崎 颯太,2-3,1,6,4,5
177,松本 太陽,2-3,1,19,4,8
178,高橋 七海,2-3,17,19,8,9
179,坂本 美咲,2-3,1,27,24,19
180,山崎 陽菜,2-3,19,10,4,2
181,渡辺 七海,2-3,22,19,24,27
182,石川 心春,2-3,24,5,19,16
183,中村 光,2-3,19,5,20,2
184,加藤 芽依,2-3,15,27,8,19
185,伊藤 凛,2-3,3,5,4,20
186,遠藤 愛莉,2-3,28,19,13,18
187,山崎 陸,2-3,19,26,30,6
188,遠藤 湊,2-3,12,13,19,22
189,渡辺 琴音,2-3,8,2,13,6
190,坂本 葵,2-3,19,8,29,2
191,山本 翔,2-3,6,14,4,2
192,村上 光,2-3,29,2,19,30
193,森 杏,2-3,19,8,27,9
194,阿部 莉子,2-3,2,19,7,17
195,加藤 翔,2-3,5,24,29,19
196,石川 結翔,2-3,2,19,27,6
197,森 結翔,2-3,19,28,6,8
198,橋本 蓮,2-3,19,24,16,11
199,松本 結翔,2-3,8,4,28,14
200,近藤 光,2-3,4,6,21,15
201,阿部 陸,3-1,2,7,20,4
202,吉田 愛莉,3-1,4,24,20,22
203,藤井 莉子,3-1,2,8,19,29
204,岡田 葵,3-1,19,21,5,29
205,斎藤 優斗,3-1,8,28,29,13
206,木村 湊,3-1,15,10,4,19
207,村上 颯太,3-1,19,25,17,3
208,加藤 七海,3-1,6,20,5,27
209,鈴木 さくら,3-1,2,27,23,26
210,橋本 咲良,3-1,2,15,5,30
211,加藤 結翔,3-1,2,28,24,19
212,岡田 愛莉,3-1,2,27,13,24
213,加藤 千尋,3-1,19,27,1,5
214,井上 心春,3-1,28,19,11,20
215,後藤 杏,3-1,4,5,19,2
216,池田 芽依,3-1,16,19,6,1
217,橋本 樹,3-1,18,4,19,16
218,鈴木 優斗,3-1,29,16,21,15
219,鈴木 悠人,3-1,25,2,9,8
220,森 結翔,3-1,21,8,19,20
